,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2007-10-31,18,1102,2,7,456,48,35,997,71,31,3,5,209,222,2,35,2292,41,46,329,979,1763,0,163,81,329,20,174,41,6,54,9,393,0,85,690,619,647,118,12122,,
2007-11-30,23,996,4,3,482,42,52,1063,57,22,3,8,203,197,3,29,2029,35,21,313,977,1800,0,180,93,373,19,122,64,6,41,11,390,0,86,596,544,600,111,11598,,
2007-12-31,11,1052,5,3,489,42,27,805,58,17,0,7,212,198,3,30,2033,32,22,331,976,1502,0,159,73,400,25,101,57,2,38,9,356,0,78,539,493,590,111,10886,,
2008-01-31,16,1041,4,2,434,39,30,1004,63,16,4,7,228,190,0,35,2162,38,32,481,1057,1805,0,162,71,360,31,156,56,1,32,9,414,0,119,642,519,611,113,11984,,
2008-02-29,12,1003,3,3,382,49,35,1063,45,22,5,4,202,185,1,22,1888,42,50,397,1022,1761,0,146,60,275,24,92,56,2,35,8,356,0,83,546,475,585,102,11041,,
2008-03-31,34,1148,8,5,470,54,32,1090,61,21,4,6,223,179,1,27,2222,45,34,412,1071,2031,0,124,71,335,14,142,68,1,38,10,423,0,85,653,527,646,120,12435,,
2008-04-30,20,983,5,2,440,39,23,821,50,23,4,10,207,204,0,22,2334,29,23,361,1016,1775,1,119,63,404,17,101,58,3,31,4,385,0,84,664,538,391,104,11358,,
2008-05-31,18,1131,7,10,458,64,48,920,64,8,7,3,200,206,2,32,2169,82,32,363,1025,1963,1,119,78,386,20,153,51,2,41,7,383,0,96,635,510,462,125,11881,,
2008-06-30,20,1015,5,1,438,61,23,801,44,19,6,5,206,228,2,23,1976,46,20,324,956,1813,1,106,65,329,25,100,51,3,39,7,364,0,74,567,427,414,111,10715,,
2008-07-31,21,1041,8,4,500,89,29,1072,65,13,5,5,216,224,4,29,2196,49,23,349,1113,2047,2,224,73,393,24,118,69,0,40,11,439,0,120,601,460,514,118,12308,,
