weekEndingDate,BAYVIEW,CENTRAL,MISSION,NORTHERN,SOUTHERN,TENDERLOIN
2014-09-30,921101.403497,1614483.3631,1113420.3125,1209203.2447,1387393.0,790285.75
2014-10-31,1021043.23581,1618734.88826,1113689.90577,1109166.58737,1497785.64583,872040.5
2014-11-30,1050236.4,1735989.77495,1071775.19121,1129761.44223,1555594.66,974397.0
2014-12-31,1108753.64365,1676735.0641,1025500.80536,1273386.0903,1628505.30417,1115000.0
2015-01-31,1099600.12068,1596477.28095,841048.391558,1725400.46991,1730067.6,846062.5
2015-02-28,1209161.1851,1545800.02639,928350.575,1275004.56576,1816285.47083,868611.125
2015-03-31,1041129.80753,1504311.32147,1326290.80747,1359326.77997,1669866.83333,819482.25
2015-04-30,983401.153846,1484030.49961,1455580.39009,1126292.64383,1513086.60417,920094.375
2015-05-31,1142043.28736,1407195.20138,1731346.62303,1169393.26333,1844135.75,861724.7
2015-06-30,1043461.75595,2327190.27421,1584476.91558,1173782.66533,1882437.89583,926736.25
2015-07-31,1043879.15632,1500403.89137,1578923.94196,1189151.63579,1955634.91667,1033175.0
2015-08-31,1260373.50715,1476411.71111,1386002.76338,2049914.50308,1816652.88333,685988.0
2015-09-30,1025149.24511,1217047.70401,1406209.35,1490784.82805,1677875.60417,1116380.375
2015-10-31,1160719.93523,1238695.59921,1241499.61944,1385801.01465,1607832.45833,1085487.0
